遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m FreestyleWomen,1,PLACCI  El e na,1935,90-94,NA T A CIONA RGE NT INA M A S T E R,01:22.5,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,VASURATNA Ra c ha ne e,1933,90-94,T HE ROYA LB A NGK OK S P ORT CLUB,01:17.5,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,JOPLI NG Mar gar et,1935,90-94,P ORT M A CQUA RIE M A S T E RS S C,01:05.9,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,WA L D I E  M a e,1935,90-94,M NDE P OINT E -CLA IRE,51. 40,Women,50m,Freestyle,,,,
50m FreestyleWomen,1,BUL L O UG H Au d r e y,1940,85-89,S T A DIUM M A S T E RS S C,01:10.0,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,OT S UKA Y u k o,1939,85-89,CW CS E IJ O,47. 77,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,TAI  Li  Hua,1939,85-89,CHA M P IONS W IM M E RCLUB,44. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,OS AKI  Y o s h i k o,1938,85-89,S T K A NS A I,40. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,1,ZHU Y ume i,1941,80-84,S HA NGHA IS W IM S T A RS C,01:10.0,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,PATEL Ba k ul a,1944,80-84,GUJ A RA T S T A T E A QUA T ICA S S .,01:09.0,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,SMI THSON Ma r ga r e t,1943,80-84,S T A DIUM M A S T E RS S C,01:02.7,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,SAKURAI  Ak i k o,1944,80-84,RA RINA NT E S W A S E DA,01:00.0,Women,50m,Freestyle,,,,
50m FreestyleWomen,5,SOBHAWAT Ra j a l a k s hmi,1943,80-84,M A HA RA S HT RA UNIT,59. 73,Women,50m,Freestyle,,,,
50m FreestyleWomen,6,CO O KE  An n i e,1944,80-84,CA M P B E LLT OW NA US S IM A S T E RS S C,57. 43,Women,50m,Freestyle,,,,
50m FreestyleWomen,7,TATE NO Ke i k o,1944,80-84,CFCYOGA,57. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,8,LE UNG Ma be l  Y ue n Y i ng,1942,80-84,S W ORDFIS HCLUB,56. 72,Women,50m,Freestyle,,,,
50m FreestyleWomen,9,WA S S E N A A R  H a n n a,1942,80-84,B RIS B A NE S OUT HS IDE M A S T E RS,55. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,10,FI TTOCK Ma r ga r e t,1941,80-84,M IA M IM A S T E RS S W IM M INGCLUB,54. 38,Women,50m,Freestyle,,,,
50m FreestyleWomen,11,KRE I S E L  An n e,1941,80-84,S GNE US S,48. 70,Women,50m,Freestyle,,,,
50m FreestyleWomen,12,GHORAB Na g wa,1943,80-84,HE LIOP OLIS,48. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,13,SATO Yur i k o,1944,80-84,CFCYOGA,45. 75,Women,50m,Freestyle,,,,
50m FreestyleWomen,14,SENFTLEBEN Moni k a  I ngr i d,1942,80-84,S GNE UK OLLNB E RLIN,45. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,15,WI L L I A M S  G e r d a,1942,80-84,S T A DIUM M A S T E RS S C,44. 75,Women,50m,Freestyle,,,,
50m FreestyleWomen,16,SALTER Li ndy,1944,80-84,M IA M IM A S T E RS S W IM M INGCLUB,43. 12,Women,50m,Freestyle,,,,
50m FreestyleWomen,17,SI MPSON Ca r ol e,1945,80-84,M IA M IM A S T E RS S W IM M INGCLUB,40. 74,Women,50m,Freestyle,,,,
50m FreestyleWomen,18,SEVI GNY LANTHI ER Ma de l e i,1943,80-84,CNM ONT -T RE M B LA NT,39. 24,Women,50m,Freestyle,,,,
50m FreestyleWomen,19,LOP E Z Ge or gi na,1944,80-84,NORT HS HORE M A S T E RS,38. 36,Women,50m,Freestyle,,,,
50m FreestyleWomen,1,HARRI S O N Ca r me n,1949,75-79,S T A DIUM M A S T E RS S C,59. 58,Women,50m,Freestyle,,,,
50m FreestyleWomen,2,BHUP O RNWI WAT  Da r a n e e,1947,75-79,CHULA LONGK ORNS W IM M IM GCLUB,55. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,3,PURWA Si l y a ni,1950,75-79,INDOM A S T E RS W IM M E RS,54. 60,Women,50m,Freestyle,,,,
50m FreestyleWomen,4,STEGGERDA Anne t,1946,75-79,DE DUINK IK K E RS,53. 89,Women,50m,Freestyle,,,,
50m FreestyleWomen,5,NAM E v a s a n g n a m,1947,75-79,S W IM ON,53. 12,Women,50m,Freestyle,,,,
